voidID radius(Mpc/h) ellip
2203 26.01 0.164256
3160 22.99 0.195026
2200 18.12 0.275881
1333 23.89 0.131872
2530 27.67 0.101613
2792 18.86 0.230583
2244 31.39 0.149808
2188 25.93 0.242714
2299 22.12 0.180779
621 20.18 0.178029
2629 26.13 0.23229
956 36.19 0.155358
1018 24.83 0.116123
477 26.31 0.208017
2954 14.17 0.340311
2965 38.65 0.10223
602 18.48 0.138363
1738 18.85 0.055269
3371 30.91 0.228027
2296 32.44 0.114419
2709 19.6 0.168917
2135 15.46 0.223838
2613 25.75 0.33482
2079 30.71 0.157931
1262 30.48 0.146343
1870 19.05 0.110072
1179 28.55 0.174688
1980 28.73 0.234734
119 21.44 0.245097
2593 26.69 0.140156
3373 29.04 0.278333
2023 23.61 0.103177
