voidID radius(Mpc/h) ellip
2240 49.71 0.209782
3120 58.62 0.209241
98 62.03 0.03339
2557 40.39 0.159711
451 41.84 0.154459
2025 24.89 0.155524
2243 40.58 0.144633
1791 38.81 0.056386
2235 32.48 0.043165
173 45.1 0.124286
895 61.36 0.159807
49 29.76 0.196331
3176 51.45 0.084328
3443 45.85 0.069687
519 49.51 0.126173
1629 43.65 0.124505
2061 49.66 0.064366
405 38.54 0.115799
285 44.98 0.139774
225 37.31 0.147266
2111 45.56 0.054578
3011 64.38 0.128995
1922 41.08 0.174183
3037 25.0 0.209584
3103 33.45 0.286861
2821 37.14 0.09671
2869 27.3 0.152986
2436 44.85 0.061364
1671 40.59 0.073562
2132 40.23 0.140035
2798 25.24 0.073078
2984 47.05 0.191603
851 40.26 0.226324
554 38.4 0.146552
2094 27.88 0.133257
974 37.65 0.199402
3094 49.87 0.178051
1726 46.03 0.109269
745 35.23 0.104461
419 28.56 0.086213
364 49.05 0.123283
1646 36.64 0.123277
1486 37.38 0.081126
2601 54.18 0.080458
3220 43.84 0.089848
1821 49.74 0.127838
801 36.18 0.103577
1969 43.08 0.12579
878 34.55 0.117487
628 35.53 0.078153
325 40.8 0.126591
2373 37.04 0.158751
3124 31.81 0.134027
56 57.42 0.11578
2496 26.11 0.150511
1232 41.19 0.100669
2509 35.5 0.119259
300 27.35 0.119683
830 39.92 0.14683
642 43.21 0.098135
1807 41.5 0.093693
1047 60.16 0.102296
3451 25.13 0.114439
3047 47.14 0.157874
3446 39.98 0.117163
84 44.71 0.110211
3101 40.26 0.083678
996 41.0 0.104972
1085 22.95 0.117343
2564 36.85 0.11254
1773 38.6 0.111161
1116 43.28 0.110316
329 45.76 0.055038
378 31.8 0.122238
2129 36.32 0.219253
1195 34.54 0.076135
661 39.13 0.083522
311 23.73 0.180826
3273 35.38 0.100742
2598 37.24 0.048473
215 30.64 0.107057
2848 58.31 0.093077
3078 49.42 0.155775
1239 33.42 0.163825
1567 32.57 0.098158
2008 33.84 0.152541
2351 32.93 0.14475
3429 41.72 0.140381
1133 36.67 0.114563
1290 37.08 0.06891
1146 48.28 0.094972
3387 34.08 0.242358
2743 37.92 0.116935
3448 36.07 0.041603
2997 38.68 0.194091
2625 37.3 0.138617
3320 25.99 0.059913
2253 30.94 0.170294
501 43.16 0.105306
821 37.57 0.086307
972 33.6 0.110766
1371 43.12 0.091256
267 57.06 0.160853
284 42.37 0.101233
1861 28.22 0.152
129 33.96 0.083662
3234 28.84 0.072193
961 31.43 0.091048
1611 45.5 0.108909
540 23.78 0.101185
2487 36.13 0.123773
1527 33.11 0.139784
3148 47.28 0.138158
2919 53.26 0.126863
1507 40.64 0.082058
153 42.33 0.128002
189 34.68 0.1223
3198 39.64 0.11384
1495 27.73 0.105933
440 52.29 0.166139
2301 33.42 0.100594
708 17.09 0.157137
2218 28.35 0.139837
1007 26.23 0.172138
2914 37.73 0.033218
2903 68.26 0.108125
988 35.21 0.112679
3277 42.45 0.146967
1925 38.87 0.022485
502 32.86 0.150457
1425 37.23 0.225427
85 39.88 0.089625
1250 39.34 0.122287
2933 45.07 0.118806
1722 36.88 0.139453
764 27.04 0.080461
2692 42.68 0.127543
2590 46.97 0.113431
3422 58.42 0.129031
400 48.25 0.221903
1653 53.73 0.1462
1141 55.02 0.163641
686 45.71 0.198893
2773 60.17 0.117239
52 29.01 0.156218
555 37.97 0.129423
18 34.72 0.209642
2733 42.8 0.101772
1591 30.17 0.069495
332 57.32 0.152598
2274 39.81 0.122522
1182 37.72 0.072797
2616 44.29 0.183469
1849 45.9 0.161799
261 34.81 0.19958
3032 55.87 0.133253
2454 36.96 0.133809
2529 43.29 0.094495
1767 45.68 0.097013
1854 43.67 0.168452
1271 27.38 0.110227
2289 39.43 0.129994
1731 18.55 0.112286
221 47.52 0.179057
2213 35.47 0.323964
1664 42.97 0.156838
2505 48.36 0.169623
3335 44.83 0.113159
2745 44.78 0.103076
1921 34.75 0.146903
3025 33.82 0.106969
279 33.86 0.138731
3217 41.18 0.117041
1974 26.95 0.170937
3376 48.54 0.111833
3221 36.98 0.127123
1901 46.33 0.145905
3412 24.52 0.153199
496 59.42 0.114354
456 37.31 0.123786
2329 34.57 0.109927
386 30.61 0.192429
2393 26.65 0.125677
833 50.61 0.217031
1864 51.28 0.139366
2054 43.28 0.100719
3135 32.43 0.140863
886 24.34 0.187398
1603 44.71 0.162105
254 25.14 0.108373
1012 27.31 0.141397
1525 30.34 0.316188
2770 30.59 0.108678
1461 33.9 0.118935
196 27.24 0.12671
64 48.42 0.08666
3250 39.16 0.246302
1409 30.16 0.177839
1918 40.95 0.127789
2742 42.84 0.237564
971 52.86 0.101378
2027 21.17 0.179741
2343 26.84 0.118949
2640 48.22 0.191358
595 46.94 0.146427
662 33.38 0.07877
2621 28.87 0.152373
3036 47.09 0.110485
2513 33.29 0.133114
1031 37.67 0.205053
1360 54.8 0.145978
2634 37.78 0.113119
1080 44.45 0.157917
503 40.13 0.076808
3129 44.93 0.038058
1741 59.78 0.12692
958 42.97 0.126127
2066 39.77 0.134388
2660 51.8 0.150159
872 38.18 0.107312
2275 41.95 0.106433
3454 36.98 0.171394
1784 46.62 0.061888
2201 16.13 0.188124
828 26.44 0.211762
2493 43.3 0.141278
950 40.94 0.14378
837 41.08 0.127542
1319 43.45 0.126398
3281 38.14 0.08093
