415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
90 2677 353210 9.837987e-02 4.290437e+02 359 1 4.290437e+02 359 2.049326 1.86e-03
91 2371 327669 1.354129e-01 2.292093e+02 205 1 2.292093e+02 205 2.045938 1.91e-03
92 1823 276774 1.703900e-01 1.979165e+02 214 1 1.979165e+02 214 2.043542 1.94e-03
93 1511 247229 1.206325e-01 3.410218e+02 261 4 1.005286e+03 850 2.042178 1.96e-03
94 2426 332802 1.679835e-01 3.183470e+02 360 1 3.183470e+02 360 2.041975 1.96e-03
95 1613 257233 1.468998e-01 2.229994e+02 257 1 2.229994e+02 257 2.041178 1.98e-03
96 2788 362570 1.344353e-01 1.830916e+02 183 1 1.830916e+02 183 2.040760 1.98e-03
97 1235 219759 1.370817e-01 3.823063e+02 374 1 3.823063e+02 374 2.038368 2.02e-03
98 1647 260843 1.741497e-01 2.883367e+02 300 1 2.883367e+02 300 2.029343 2.16e-03
99 3063 385142 1.575300e-01 1.965650e+02 242 1 1.965650e+02 242 2.028821 2.17e-03
100 931 186405 1.390565e-01 4.539102e+02 416 1 4.539102e+02 416 2.026843 2.20e-03
101 2512 338904 1.502278e-01 2.081264e+02 212 1 2.081264e+02 212 2.025951 2.22e-03
102 1655 261606 1.044568e-01 6.409110e+02 529 3 1.491855e+03 1217 2.021992 2.28e-03
103 1673 263333 1.144450e-01 3.444936e+02 306 2 4.160738e+02 367 2.020036 2.32e-03
104 2558 342839 1.158483e-01 6.775856e+02 697 1 6.775856e+02 697 2.015733 2.39e-03
105 1261 222284 1.053530e-01 3.128008e+02 259 1 3.128008e+02 259 2.014409 2.41e-03
106 1847 279477 1.782861e-01 1.431408e+02 168 1 1.431408e+02 168 2.010098 2.49e-03
107 2767 361012 1.109234e-01 4.235790e+02 429 1 4.235790e+02 429 2.006134 2.57e-03
108 3379 409731 1.262349e-01 2.494768e+02 223 2 8.585613e+02 830 2.005316 2.58e-03
109 3261 400541 1.826783e-01 1.538783e+02 178 1 1.538783e+02 178 1.997701 2.73e-03
