415495 particles, 3454 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
219 1718 267413 0.161952 360.273193 361 1 360.273193 361 1.752822 0.014800
220 3197 395102 0.130282 291.282806 261 1 291.282806 261 1.752440 0.014800
221 992 193358 0.197834 156.047607 208 1 156.047607 208 1.752288 0.014800
222 2077 302456 0.126478 327.439209 275 3 683.101196 612 1.746570 0.015400
223 2018 296233 0.163411 196.168198 176 1 196.168198 176 1.744742 0.015600
224 2333 324385 0.115926 411.564514 380 2 648.606018 612 1.742811 0.015700
225 3137 390545 0.165106 191.469894 214 1 191.469894 214 1.742787 0.015700
226 2429 333048 0.156892 261.031403 252 1 261.031403 252 1.740985 0.015900
227 1249 221007 0.218848 69.090012 67 1 69.090012 67 1.739254 0.016100
228 1016 196428 0.187858 276.444214 289 1 276.444214 289 1.738703 0.016200
229 2382 328495 0.166461 302.070892 302 1 302.070892 302 1.736937 0.016400
230 377 116314 0.182633 186.356003 206 1 186.356003 206 1.735245 0.016500
231 2128 306362 0.199303 226.952499 234 1 226.952499 234 1.733935 0.016700
232 3136 390348 0.135997 151.220001 160 1 151.220001 160 1.733547 0.016700
233 3350 406866 0.130317 209.829605 180 1 209.829605 180 1.733085 0.016800
234 2936 376243 0.121795 512.104919 400 6 2055.835938 1885 1.731730 0.016900
235 2441 333513 0.146523 160.351700 148 1 160.351700 148 1.729572 0.017100
236 3393 410561 0.147702 291.225708 267 1 291.225708 267 1.728554 0.017300
237 3344 406061 0.143575 203.421707 218 1 203.421707 218 1.727953 0.017300
238 1454 241539 0.176493 168.679199 149 1 168.679199 149 1.727498 0.017400
239 2425 332679 0.283449 52.287121 72 1 52.287121 72 1.727470 0.017400
240 2822 365722 0.192318 282.025696 315 1 282.025696 315 1.726711 0.017500
241 3000 380361 0.127780 406.329193 412 1 406.329193 412 1.725930 0.017500
242 757 167531 0.143820 462.763885 535 1 462.763885 535 1.724893 0.017700
243 612 150771 0.194977 109.350304 112 1 109.350304 112 1.724480 0.017700
244 689 159329 0.139636 425.793091 413 1 425.793091 413 1.724123 0.017700
245 294 101885 0.287191 57.830070 99 1 57.830070 99 1.723592 0.017800
246 2998 380215 0.140638 424.808807 428 1 424.808807 428 1.723321 0.017800
247 2551 342595 0.170376 170.314697 182 1 170.314697 182 1.720706 0.018100
248 1467 243049 0.156131 516.468079 473 1 516.468079 473 1.719787 0.018200
249 1434 238601 0.221089 157.687500 178 1 157.687500 178 1.719165 0.018300
250 1937 288484 0.223583 139.442703 193 1 139.442703 193 1.719141 0.018300
251 3214 397236 0.117060 232.982605 196 2 494.380188 385 1.718340 0.018400
252 1775 272207 0.173015 85.464119 73 1 85.464119 73 1.717759 0.018500
253 25 28485 0.240980 29.250879 29 1 29.250879 29 1.716354 0.018600
254 793 171725 0.150506 434.181702 396 1 434.181702 396 1.716212 0.018700
255 275 99816 0.149756 157.600494 128 1 157.600494 128 1.715643 0.018700
256 3349 406467 0.180992 283.490906 272 1 283.490906 272 1.715557 0.018700
257 1910 285968 0.192597 90.851868 92 1 90.851868 92 1.715127 0.018800
